"Tarih","Atatürk","Sabiha","AtatürkKapasite","SabihaKapasite",""
"Jun-10","2736936","983309","2600000","2500000",""
"Jul-10","3192120","1227682","2600000","2500000",""
"Aug-10","3068590","1132082","2600000","2500000",""
"Jun-11","3241975","1233820","2800000","2500000",""
"Jul-11","3831233","1420260","2800000","2500000",""
"Aug-11","3484960","1223835","2800000","2500000",""
"Jun-12","4052791","1417056","3000000","2500000",""
"Jul-12","4361468","1485036","3000000","2500000",""
"Aug-12","4334814","1488492","3000000","2500000",""
"Jun-13","4559860","1695644","4600000","2500000",""
"Jul-13","4543481","1725984","4600000","2500000",""
"Aug-13","4971291","2010071","4600000","2500000",""
"Jun-14","5061800","2178701","5000000","2500000",""
"Jul-14","4873944","2160789","5000000","2500000",""
"Aug-14","5569201","2557711","5000000","2500000",""
"Jun-15","5345303","2440199","5000000","3400000",""
"Jul-15","5758678","2781896","5000000","3400000",""
"Aug-15","6242277","3053164","5000000","3400000",""
"Jun-16","4880508","2407057","5800000","3400000",""
"Jul-16","5429583","2693197","5800000","3400000",""
"Aug-16","5983645","2960931","5800000","3400000",""
"Jun-17","5156725","2582695","5800000","3400000",""
"Jul-17","6429590","3046449","5800000","3400000",""
"Aug-17","6641953","3065620","5800000","3400000",""
"Jun-18","5570827","2800713","5800000","3400000",""
"Jul-18","6552647","3334648","5800000","3400000",""
"Aug-18","6698812","3333575","5800000","3400000",""
"Jun-19","5763531","3080078","5800000","3400000",""
"Jul-19","6795127","3441197","5800000","3400000",""
"Aug-19","6984096","3465924","5800000","3400000",""
"Jun-20","6261135","3244913","5800000","3400000",""
"Jul-20","6950961","3633400","5800000","3400000",""
"Aug-20","6987230","3672782","5800000","3400000",""
"Jun-21","6533752","3486312","5800000","3400000",""
"Jul-21","7389733","3874798","5800000","3400000",""
"Aug-21","7552921","3914181","5800000","3400000",""
